,activity,model,experiment,ensemble_member,timestep,grid_type,file,year,tgav
0,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1850,286.3737205570401
1,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1851,286.352600530293
2,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1852,286.4344187070821
3,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1853,286.4087530947662
4,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1854,286.3487542842362
5,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1855,286.4118856797589
6,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1856,286.40978849967075
7,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1857,286.48986897437396
8,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1858,286.38668532527737
9,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1859,286.3672810387067
10,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1860,286.59744154425636
11,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1861,286.6405960912698
12,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1862,286.63384993978906
13,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1863,286.6296811000819
14,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1864,286.60570305251974
15,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1865,286.63299138396013
16,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1866,286.70880833120617
17,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1867,286.57812196812023
18,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1868,286.4937017523206
19,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1869,286.66422706150604
20,CMIP,UKESM1-0-LL,historical,r6i1p1f3,Amon,gn,gs://cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/tas/gn/,1870,286.6018459844808
